answer,choices,question
3,"cherup,,dermatoglyphics,,sotols,,sidelights","Duncan was charged with aggravated assault. At trial Duncan did not testify; however, he sought to offer opinion evidence of his good character for truth and veracity. This testimony should be"
0,"autopelagic,,nonconfederate,,billy,,nucleopetal","Alford was a suspect in a homicide committed during a robbery of a liquor store. Barber was a friend of Alford. Police telephoned Barber and asked if he would help locate Alford. Barber agreed and met the police officers at headquarters later that night. After a discussion during which police asked questions about Alford and the homicide, Barber said that he wanted to get something ""off his chest"" and advised the officers that he was in on the robbery but that Alford had shot the owner of the store without his permission or prior knowledge. The officers then for the first time gave Barber his Miranda warnings. Barber was indicted for felony murder. He moved to prevent the introduction of his statement into evidence. His motion should be"
1,"tricrotic,,luddism,,beautifulness,,dimera","The federal government has complete jurisdiction over certain parkland located within the state of Plains. To conserve the wildlife that inhabits that land, the federal government enacts a statute forbidding all hunting of animals in the federal park. That statute also forbids the hunting of animals that have left the federal park and have entered the state of Plains. Hanson has a hunting license from the state of Plains authorizing him to hunt deer anywhere in the state. On land within the state of Plains located adjacent to the federal park, Hanson shoots a deer he knows has recently left the federal land. Hanson is prosecuted for violating the federal hunting law. The strongest ground supporting the constitutionality of the federal law forbidding the hunting of wild animals that wander off federal property is that"
2,"cyanines,,bedarkening,,renk,,sociably","Poe ordered some merchandise from Store. When the merchandise was delivered, Poe decided that it was not what he had ordered, and he returned it for credit. Store refused to credit Poe\"
3,"deutobromide,,upliftable,,cephalometer,,hypermegasoma","Eureka, Inc., inventor of the LBVC, a laser-beam vegetable chopper, ran a television ad that described the chopper and said, ""The LBVC is yours for only $49.99 if you send your check or money order to Box 007, Greenville. Not available in stores."" Gourmet, who owned a retail specialty shop, wrote Eureka, ""What\"
0,"pettifogger,,burgherhood,,ovicyst,,insalivating","Downs was indicted in state court for bribing a public official. During the course of the investigation, police had demanded and received from Downs's bank the records of Downs's checking account for the preceding two years. The records contained incriminating evidence. On the basis of a claim of violation of his constitutional rights, Downs moves to prevent the introduction of the records in evidence. His motion should be"
1,"carterly,,anticlassicist,,hypsometrist,,ravener","Three states, East Winnetka, Midland, and West Hampton, are located next to one another in that order. The states of East Winnetka and West Hampton permit the hunting and trapping of snipe, but the state of Midland strictly forbids these activities in order to protect snipe, a rare species of animal, from extinction. The state of Midland has a state statute that provides, ""Possession of snipe traps is prohibited. Any game warden finding a snipe trap within the state shall seize and destroy it."" Snipe traps cost about $15 each. Prentis is a resident of West Hampton and an ardent snipe trapper. She drove her car to East Winnetka to purchase a new improved snipe trap from a manufacturer there. In the course of her trip back across Midland with the trap in her car, Prentis stopped in a Midland state park to camp for a few nights. While she was in that park, a Midland game warden saw the trap, which was visible on the front seat of her car. The warden seized the trap and destroyed it in accordance with the Midland statute after Prentis admitted that the seized item was a prohibited snipe trap. No federal statutes or federal administrative regulations apply.""""For this question only, assume that Prentis demonstrates that common carriers are permitted to transport snipe traps as cargo across Midland for delivery to another state and that in practice the Midland statute is enforced only against private individuals transporting those traps in private vehicles. If Prentis challenges the application of the Midland statute to her on the basis only of a denial of equal protection, the application of the statute will probably be found"
2,"cervid,,oppositisepalous,,bedquilt,,clavi","Three states, East Winnetka, Midland, and West Hampton, are located next to one another in that order. The states of East Winnetka and West Hampton permit the hunting and trapping of snipe, but the state of Midland strictly forbids these activities in order to protect snipe, a rare species of animal, from extinction. The state of Midland has a state statute that provides, ""Possession of snipe traps is prohibited. Any game warden finding a snipe trap within the state shall seize and destroy it."" Snipe traps cost about $15 each. Prentis is a resident of West Hampton and an ardent snipe trapper. She drove her car to East Winnetka to purchase a new improved snipe trap from a manufacturer there. In the course of her trip back across Midland with the trap in her car, Prentis stopped in a Midland state park to camp for a few nights. While she was in that park, a Midland game warden saw the trap, which was visible on the front seat of her car. The warden seized the trap and destroyed it in accordance with the Midland statute after Prentis admitted that the seized item was a prohibited snipe trap. No federal statutes or federal administrative regulations apply.""""For this question only, assume that a valid federal administrative rule, adopted under a federal consumer product safety act, regulates the design of snipe traps. The rule was issued to prevent traps from causing injury to human beings, e.g., by pinching fingers while persons were setting the traps. No other federal law applies. Which of the following best states the effect of the federal rule on the Midland state statute?"
3,"neiper,,hyingly,,marianne,,parosmia","Orris had title to Brownacre in fee simple. Without Orris' knowledge, Hull entered Brownacre in 1950 and constructed an earthen dam across a watercourse. The earthen dam trapped water that Hull used to water a herd of cattle he owned. After 12 years of possession of Brownacre, Hull gave possession of Brownacre to Burns. At the same time, Hull also purported to transfer his cattle and all his interests in the dam and water to Burns by a document that was sufficient as a bill of sale to transfer personal property but was insufficient as a deed to transfer real property. One year later, Burns entered into a lease with Orris to lease Brownacre for a period of five years. After the end of the five-year term of the lease, Burns remained on Brownacre for an additional three years and then left Brownacre. At that time Orris conveyed Brownacre by a quitclaim deed to Powell. The period of time to acquire title by adverse possession in the jurisdiction is 10 yearsAfter Orris's conveyance to Powell, title to Brownacre was in"
0,"revelries,,byrlaw,,psychonomic,,tichodrome","Orris had title to Brownacre in fee simple. Without Orris' knowledge, Hull entered Brownacre in 1950 and constructed an earthen dam across a watercourse. The earthen dam trapped water that Hull used to water a herd of cattle he owned. After 12 years of possession of Brownacre, Hull gave possession of Brownacre to Burns. At the same time, Hull also purported to transfer his cattle and all his interests in the dam and water to Burns by a document that was sufficient as a bill of sale to transfer personal property but was insufficient as a deed to transfer real property. One year later, Burns entered into a lease with Orris to lease Brownacre for a period of five years. After the end of the five-year term of the lease, Burns remained on Brownacre for an additional three years and then left Brownacre. At that time Orris conveyed Brownacre by a quitclaim deed to Powell. The period of time to acquire title by adverse possession in the jurisdiction is 10 yearsAfter Orris's conveyance to Powell, title to the earthen dam was in"
1,"subradial,,karstenite,,weatherward,,forestallment","An issue in Parker's action against Daves for causing Parker's back injury was whether Parker's condition had resulted principally from a similar occurrence five years before, with which Daves had no connection. Parker called Watts, his treating physician, who offered to testify that when she saw Parker after the latest occurrence, Parker told her that before the accident he had been working full time, without pain or limitation of motion, in a job that involved lifting heavy boxes. Watts's testimony should be"
2,"stagey,,nights,,disedification,,color","West, a witness in a contract case, testified on direct examination that four people attended a meeting. When asked to identify them, she gave the names of three but despite trying was unable to remember the name of the fourth person. The attorney who called her as a witness seeks to show her his handwritten notes of the part of his pretrial interview with her in which she provided all four names. The trial court is likely to consider the showing of the notes taken as"
3,"zoogleas,,unpresupposed,,costean,,planterdom","While hospitalized, Marsh asked her attorney to draw a deed conveying her home to her son, Simon. While Marsh remained in the hospital, the deed was drawn, properly executed, and promptly and properly recorded. On being informed of the existence of the deed, Simon told his mother, ""I want no part of the property; take the deed right back."" Marsh recovered and left the hospital, but shortly thereafter, before any other relevant event, Simon died intestate. Marsh brought an appropriate action against Simon\"
0,"prerevenging,,transcendentally,,fonnish,,jauk","Plummer, a well-known politician, was scheduled to address a large crowd at a political dinner. Just as he was about to sit down at the head table, Devon pushed Plummer's chair to one side. As a result, Plummer fell to the floor. Plummer was embarrassed at being made to look foolish before a large audience but suffered no physical harm. If Plummer asserts a claim against Devon for damages because of his embarrassment, will Plummer prevail?"
1,"weapschawing,,wlatful,,nappy,,tea","In a writing signed by both parties, Paul Plannah, a renowned architect, agreed for a fee of $25,000 to design and supervise construction of a new house for Phoebe Threedee, a famous sculptor, the fee to be paid upon completion of the house. Plannah and Threedee got along poorly, and, when the design plans were about two-thirds complete, they had a heated argument over the proper location of a marble staircase. Hoping to avoid such encounters, Plannah, without Threedee\"
2,"pinmaker,,veinbanding,,parietales,,rebeck",There is high and persistent unemployment in the industrialized state of Green. Its legislature therefore enacted a statute requiring every business with annual sales in Green of over $1 million to purchase each year goods and/or services in Green equal in value to at least half of its sales in Green Which of the following parties most clearly has standing to contest the constitutionality of this statute of Green in federal court?
3,"kerchunk,,adoption,,subdititiously,,spoorer","Constance owned Greenacre in fee simple. She executed two instruments in the proper form of deeds. The first instrument purported to convey an undivided one-half interest in Greenacre to Henry and his wife, Audrey, as joint tenants with right of survivorship. The second instrument purported to convey an undivided one-half interest in Greenacre to Susan, the only child of Henry. Susan was 13 years old at the time. The common law joint tenancy is unmodified by statute. No actual consideration was paid for the deeds. Constance handed the two deeds to Henry. Henry promptly and properly recorded the deed to himself and Audrey and put the deed to his daughter, Susan, in a safe-deposit box without recording it. The same year, Henry, Audrey, and Susan were on a vacation when the plane in which they were flying went down, and all three were killed simultaneously. Henry, Audrey, and Susan died intestate. The applicable statute in the jurisdiction provides that ""when title to property on its devolution depends on priority of death and there is insufficient evidence that the persons have died otherwise than simultaneously, the property of each person shall be disposed of as if he had survived."" An appropriate action was instituted by the heirs of Henry, Audrey, and Susan. Constance, who is not an heir of any of the deceased, was a party to the action. The court should determine that title to Greenacre is"
0,"sandweld,,futurist,,tricoccose,,wetchet","In Peck's antitrust suit against manufacturers of insulation, Peck's interrogatories asked for information concerning total sales of insulation by each of the defendant manufacturers in a particular year. The defendants replied to the interrogatories by referring Peck to the Insulation Manufacturers' Annual Journal for the information. If, at trial, Peck offers the annual journal as evidence of the sales volume, this evidence is"
1,"resorbing,,contoid,,reticula,,sion","When Denton heard that his neighbor, Prout, intended to sell his home to a minority purchaser, Denton told Prout that Prout and his wife and children would meet with ""accidents"" if he did so. Prout then called the prospective purchaser and told him that he was taking the house off the market.If Prout asserts a claim against Denton for assault, Prout will"
2,"stratameter,,dimwittedness,,unwrongfulness,,tautness","When Denton heard that his neighbor, Prout, intended to sell his home to a minority purchaser, Denton told Prout that Prout and his wife and children would meet with ""accidents"" if he did so. Prout then called the prospective purchaser and told him that he was taking the house off the market.If Prout asserts a claim against Denton for intentional infliction of emotional distress, Prout will"
3,"judgship,,psedera,,phytomorphosis,,hardboard","The German-made Doppelpferd, featuring sleek styling and remarkable fuel efficiency, is the most popular automobile in the United States. Its U.S. sales are booming, and the average retail markup in such sales is 30 percent. Hardsell Motors, Inc., a franchised Doppelpferd dealer in the United States, contracted with Shift to sell him a new Doppelpferd for $9,000 cash, the sale to be consummated after delivery to Hardsell of the car, which Hardsell ordered from the manufacturer specifically for Shift. The signed retail contractual document was a contract drafted by Hardsell's lawyer, and Shift did not question or object to any of its terms, including the price inserted by Hardsell. When the car arrived from Germany, Shift repudiated the contract. Hardsell at once sold the car for $9,000 cash to Karbuff, for whom Hardsell had also ordered from the manufacturer a Doppelpferd identical to Shift's. In an action against Shift for breach of contract, Hardsell will probably recover"
0,"grounden,,mosette,,pigroot,,housage","A statute in a jurisdiction makes it a crime to sell ammunition to a minor (defined as a person under the age of 18). The courts have interpreted this statute as creating a strict liability offense that does not require knowledge of the age of the purchaser and as creating vicarious liability. Duncan, who was 16 years old, but looked four or five years older, entered a store owned by Matthews and asked a clerk for a box of .22-caliber shells. Matthews had instructed her employees not to sell ammunition to minors. The clerk asked Duncan his age. Duncan said he was 20. The clerk then placed a box of shells on the counter and asked, ""Anything else?"" Duncan said that was all he wanted but then discovered he did not have enough money to pay for the shells, so the clerk put the box back onto the shelf. If Matthews, the owner of the store, is charged with attempting to violate the statute, her best argument would be that"
1,"sojourn,,chrysippus,,rikshaw,,metacarpi","Otto conveyed Goldacre to ""Andy, his heirs and assigns, but if Andy dies and is not survived by children by his present wife, Jane, then to Bob and his heirs and assigns."" Shortly after taking possession, Andy discovered rich metal deposits on the land, opened a mining operation, and removed and sold a considerable quantity of valuable ore without giving Bob any notice of his action. Andy has no children. Andy, Jane, and Bob are all still living. Bob brought an action in equity for an accounting of the value of the ore removed and for an injunction against further removal. If the decision is for Andy, it will be because"
2,"enchalice,,woads,,sporogen,,skint"," A state statute makes fraud for personal financial gain a crime. Jones was convicted of violating this statute on three separate occasions. Following his most recent conviction, he professed to have undergone a religious conversion and proclaimed himself to be the divine minister of ""St. Rockport,"" an alleged messiah who would shortly be making his appearance on earth. Jones solicited cash donations from the public to support his efforts to spread the word of St. Rockport and his coming appearance on earth. Following complaints by several contributors who claimed he defrauded them, Jones was again charged with fraud under this state statute. The charge was that Jones ""should have known that his representations about St. Rockport were false and, therefore, that he made them solely to collect cash donations for his personal gain."" A witness for the prosecution in Jones\"
3,"logeum,,ethoxide,,forecasting,,patriarchdom","Hammond decided to kill his wife by poisoning her. He asked his friend, Jordan, a pharmacist, to obtain some curare, a deadly poison, and to give it to him without recording the transaction. Because Jordan suspected Hammond\"
0,"dillydallying,,rand,,subdenticulate,,latecomers","While on a hiking trip during the late fall, Page arrived, toward the end of the day, at a clearing where several similar cabins were located, none of which was occupied. One of the cabins belonged to Levin, Page's friend, who had given Page permission to use it. Page entered one of the cabins, which she thought was Levin's, and prepared to spend the night. In fact the cabin was owned, not by Levin, but by Dwyer. When the night turned cold, Page started a fire in the stove. Unknown to Page, there was a defect in the stove that allowed carbon monoxide fumes to escape into the cabin. During the night the fumes caused serious injury to Page. If Page asserts a claim against Dwyer for her injury, will Page recover?"
1,"buttercups,,delegare,,blarneyed,,peeve","On January 1, Awl and Howser agreed in writing that Awl would build a house on Howser\"
2,"empuzzle,,britannically,,hypostrophe,,overcreep","During the night, Murphy broke into a house with the intention of stealing a typewriter. On not finding a typewriter, she became angry, poured lighter fluid onto a couch, and set it on fire. The flames destroyed the couch and also burned a portion of the ceiling in the room. In a common law jurisdiction, Murphy is guilty of"
3,"reparate,,uberousness,,putid,,unfussed","Argus Corporation is privately owned and incorporated in the state of Kiowa. It contracted with the United States to construct a dam across the Big Sandy River in the state of Arapaho. The state of Arapaho imposed a gross receipts tax on all business conducted within the state. Arapaho sued Argus Corporation to collect that tax on the receipts Argus received under this federal contract. No federal statutes or administrative rules are applicable, and the contract between the United States and Argus Corporation does not mention state taxation. The court should hold the state tax, as applied here, to be"
0,"xenoparasite,,bits,,threshes,,irredentist"," Parmott sued Dexter in an automobile collision case. At trial, Parmott wishes to show by extrinsic evidence that Wade, Dexter's primary witness, is Dexter's partner in a gambling operation. This evidence is"
1,"trio,,unspecious,,metallik,,riotry","Taylor and Scott, an unmarried couple, purchased a condominium as tenants in common and lived in the condominium for three years. Subsequently, they made a verbal agreement that, on the death of either of them, the survivor would own the entire condominium, and, as a result, they decided they did not need wills. Two years later, Taylor and Scott were involved in the same automobile accident. Taylor was killed immediately. Scott died one week later. Both died intestate. Taylor's sole heir is his brother, Mark. Scott's sole heir is her mother, Martha. Mark claimed one-half of the condominium, and Martha claimed all of it. The jurisdiction has no applicable statute except for the Statute of Frauds; nor does it recognize common law marriages. In an appropriate action by Martha claiming the entire ownership of the condominium, the court will find that"
2,"unpleaded,,boardable,,nonoccurrence,,fluctigerous","Telco, a local telephone company, negligently allowed one of its telephone poles, located between a street and a sidewalk, to become termite-ridden. Rhodes, who was intoxicated and driving at an excessive rate of speed, lost control of her car and hit the weakened telephone pole. One week later, the pole fell and struck Walker, a pedestrian who was walking on the sidewalk. The pole fell because of the combination of the force of the impact and the pole's termite-ridden condition. If Walker asserts a claim against Telco and Rhodes, will Walker prevail?"
3,"korec,,coursers,,coaugment,,whoosh","Dirk broke into Vera's house one night. As he started to stuff silverware into a sack, he was surprised by Vera, who had arrived home earlier than usual. Dirk struck Vera on the head with a candlestick and tied her up. He finished filling his sack and left. The police discovered Vera several hours later and rushed her to the hospital. Dirk was apprehended by the police early the following morning with the loot still in his possession. He was taken to police headquarters, given Miranda warnings, and asked if he wished to make a statement about the prior evening's events. The police did not mention that Vera had been seriously injured and was in the hospital. Dirk said he understood his rights and was willing to talk. He then admitted that he committed the burglary of Vera's house. The following day, Vera died from injuries caused by the blow to her head. If, at Dirk's trial for murder, Dirk moves to prevent introduction of the confession into evidence, his motion should most probably be"
0,"maselin,,deifiers,,cantharides,,calved","In 1956, Silo Cement Company constructed a plant for manufacturing ready-mix concrete in Lakeville. At that time Silo was using bagged cement, which caused little or no dust. In 1970, Petrone bought a home approximately 1,800 feet from the Silo plant. One year ago, Silo stopped using bagged cement and began to receive cement in bulk shipments. Since then at least five truckloads of cement have passed Petrone's house daily. Cement blows off the trucks and into Petrone's house. When the cement arrives at the Silo plant, it is blown by forced air from the trucks into the storage bin. As a consequence cement dust fills the air surrounding the plant to a distance of 2,000 feet. Petrone's house is the only residence within 2,000 feet of the plant. If Petrone asserts a claim against Silo based on nuisance, will Petrone prevail? "
1,"plausible,,extremists,,pantheonize,,alipeds","On a wholly random basis, a state agency has given a few probationary employees who were not rehired at the end of their probationary periods a statement of reasons and an opportunity for a hearing; but the agency has very rarely done so. No statute or rule of the agency required such a statement of reasons or a hearing. The employment of Masters, a probationary employee, was terminated without a statement of reasons or an opportunity for a hearing. The agency did not even consider whether it should give him either. A suit by Masters requesting a statement of reasons and a hearing will probably be"
2,"tilpah,,revivifies,,lodgepole,,bulldog","Able, an attorney, sued Clinton, a client, for his fee, based on an agreed hourly rate. Clinton subpoenaed the attorney's time records for the days on which he purported to have worked for Clinton, in order to show that Able had billed an impossible number of hours to Clinton and others on those days. Clinton's subpoena provided that any information concerning the matters handled for other clients be deleted or masked. Able moved to quash the subpoena on the ground of attorney-client privilege. The subpoena should be"
3,"epiloguing,,minimising,,preafternoon,,amphisbaenas","Furrow leased in writing a 100-acre farm from Quark for five years at $2,000 per year, with an option to purchase ""five acres of the land for $10,000 cash"" at the end of the lease term. Before the lease was executed, Quark orally promised to have a five-acre parcel surveyed before the end of the lease term. Furrow took possession of the farm and paid the rent for five years. During the fifth year, having decided that he would exercise the purchase option, Furrow planted several fruit trees and built a large grain silo on the property. At the end of the term, Furrow tendered Quark $10,000 and demanded a conveyance, but Quark repudiated the option agreement and retook possession of the farm. He had never had the five-acre parcel surveyed.In an action by Furrow against Quark for specific performance of the option agreement, which of the following is Quark\"
0,"ruffly,,reneges,,similitude,,aulicism","Furrow leased in writing a 100-acre farm from Quark for five years at $2,000 per year, with an option to purchase ""five acres of the land for $10,000 cash"" at the end of the lease term. Before the lease was executed, Quark orally promised to have a five-acre parcel surveyed before the end of the lease term. Furrow took possession of the farm and paid the rent for five years. During the fifth year, having decided that he would exercise the purchase option, Furrow planted several fruit trees and built a large grain silo on the property. At the end of the term, Furrow tendered Quark $10,000 and demanded a conveyance, but Quark repudiated the option agreement and retook possession of the farm. He had never had the five-acre parcel surveyed.Assume for this question only that Quark is not liable to Furrow for breach of a land-sale contract. In an action by Furrow against Quark for the reasonable value of the improvements that Furrow added to the farm, which of the following theories would best support Furrow\"
1,"unmoralistic,,liang,,autograft,,eternalization","Abco developed a new drug, ZB, for treatment of Wegener's disease. Abco extensively tested ZB for several years on animals and human volunteers and observed no undesirable side effects. The federal Food and Drug Administration (FDA) then approved ZB for sale as a prescription drug. Five other drug companies, each acting independently, developed drugs identical to ZB. Each of these drugs was also approved by the FDA for sale as a prescription drug. True Blue Drug, a wholesaler, bought identically shaped pills from all six of the manufacturers and sold the pills to drugstores as Wegener's X. This drug had a long-delayed side effect. Sons of male users of Wegener's X are sterile. One such son, Crane, brought an action against Abco for his damages. Abco, through True Blue Drug, supplied about 10 percent of the Wegener's X sold in the state where Crane lived. It is not possible to establish which of the six companies supplied the particular pills that Crane's father took. If Crane asserts a claim against Abco based on strict liability in tort, which of the following will be a decisive question in determining whether Crane will prevail?"
2,"interjectionalised,,dendrophil,,synapticulum,,polarizable","A state statute provides that only citizens of the United States may be employed by that state. In an action brought in a federal court, a resident alien who was prevented from obtaining state employment as a garbage collector solely because of his alien status challenged the statute's constitutionality as applied to his circumstances. Which of the following statements concerning the burden of persuasion applicable to this suit is correct?"
3,"rhumbaing,,caulescent,,hildings,,inhabitant","In litigation over the estate of Baggs, who died intestate, Payton, who is 18 years old, claimed to be Baggs's niece and entitled, therefore, to a share of his large estate. In support of her claim, Payton offered in evidence a Bible, properly identified as having belonged to Baggs's family, in the front of which was a list of family births, marriages, and deaths. The list recorded Payton's birth to Baggs's oldest sister. To prove that Payton is Baggs's niece, the Bible listing is "
0,"yachted,,filmed,,warrantees,,porose","Smythe was charged with the murder of his wife. In his defense, he testified that at the time he killed her, he believed that his wife was planning to destroy the world by detonating a massive explosive device that she had developed and built in the basement of their home. He further testified that he had tried many times to dissuade his wife from her plan and had tried to destroy devices that she stored in the basement. She had, he testified, foiled his efforts by on two occasions signing papers for his hospitalization, which lasted for a brief period each time. He said that he had concluded that the only way to prevent her scheme was to kill her and that he had become so obsessed with the importance of doing so that he could think of nothing else. One day when he saw her open the door to the basement he lunged at her and pushed her down the steps to her death. The best defense raised by Smythe's testimony is"
1,"stivers,,benders,,emhpasizing,,ideotype",After being notified by Dr. Josephs that Nurse Norris\
2,"logged,,dashes,,metallogenic,,monologized","Pullen used aluminum brackets in her business. On the telephone listed as hers in the telephone book, Pullen received a call in which the caller said, ""This is John Denison of Denison Hardware Company. We have a special on aluminum brackets this week at 30 percent off."" Pullen ordered brackets from the caller. When the brackets were never delivered, Pullen sued Denison for breach of contract. At trial, Denison, who denies having made the telephone call, objects to Pullen\"
3,"demonetized,,disrespectable,,anagogy,,boatwright","The High National Grasslands is owned by the United States and is located in the center of a large western state. Acting pursuant to a federal statute authorizing such action, the United States Bureau of Land Management leased the grazing rights in the High National Grasslands to ranchers located nearby. Grazingland Company owns a vast amount of rangeland adjacent to the High National Grasslands and leases its land for livestock-grazing purposes to the same ranchers, but at prices higher than those charged by the Bureau. Grazingland Company sued the Bureau in an appropriate federal district court to restrain the Bureau from competing with that company by leasing the High National Grasslands. Which of the following constitutional provisions may most easily and directly be used to justify the federal statute authorizing this leasing program of the Bureau of Land Management?"
0,"autotetraploidy,,feasant,,nonscarcity,,grooverhead","Ann leased commercial property to Brenda for a period of 10 years. The lease contained the following provision: ""No subleasing or assignment will be permitted unless with the written consent of the lessor."" One year later, Brenda assigned all interest in the lease to Carolyn, who assumed and agreed to perform the lessee\"
1,"scutulum,,nurly,,thetch,,subscapular","On January 2, Hugh Homey and Sue Structo entered into a written contract in which Structo agreed to build on Homey\"
2,"architeuthis,,unorganizedness,,afterend,,corcle","Chemco designed and built a large tank on its premises for the purpose of storing highly toxic gas. The tank developed a sudden leak and escaping toxic gas drifted onto the adjacent premises, where Nyman lived. Nyman inhaled the gas and died as a result. In a suit brought by Nyman's personal representative against Chemco, which of the following must be established if the claim is to prevail? I. The toxic gas that escaped from Chemco's premises was the cause of Nyman's death. II. The tank was built in a defective manner. III. Chemco was negligent in designing the tank."
3,"rhizocephalan,,urase,,ichnography,,prevenancy","Zall, a resident of the state of Paxico, brought suit in federal district court against Motors, Inc., a Paxico corporation. Zall seeks recovery of $12,000 actual and $12,000 punitive damages arising from Motors's sale to him of a defective automobile. Zall's suit is based only on a common law contract theory. From a constitutional standpoint, should the federal district court hear this suit on its merits?"
0,"berycid,,arain,,cazique,,niklesite","Pack sued Donlon for slander, alleging that Donlon had publicly accused Pack of being a thief. In his answer, Donlon admitted making the accusation, but alleged that it was a true statement. At trial, Donlon offers evidence that Pack stole a ring worth $10,000 from a jewelry store. Evidence concerning this theft should be"
1,"vertigos,,tendonous,,metatarsi,,fruitgrowing"," Rimm and Hill were fooling around with a pistol in Hill's den. Rimm aimed the pistol in Hill's direction and fired three shots slightly to Hill's right. One shot ricocheted off the wall and struck Hill in the back, killing him instantly. The most serious crime of which Rimm can be convicted is "
2,"railbirds,,ngai,,flagrantness,,diamminonitrate","Oaks, the owner of Blackacre, conveyed a rightof-way to United Utility ""for the underground transportation of gas by pipeline, the location of right-of-way to be mutually agreed upon by Oaks and United Utility."" United Utility then installed a six-inch pipeline at a location selected by it and not objected to by Oaks. Two years later, United Utility advised Oaks of its intention to install an additional six-inch pipeline parallel to and three feet laterally from the original pipeline. In an appropriate action, Oaks sought a declaration that United Utility has no right to install the second pipeline. If Oaks prevails, it will be because"
3,"salmonlike,,saddled,,timbreled,,waly","A statute authorizes a specified federal administrative agency to issue rules governing the distribution of federal grant funds for scientific research. The statute provides that, in issuing those rules, the agency must follow procedures and substantive standards contained in the statute. In a severable provision, the statute also provides that otherwise valid rules issued by the agency under authority delegated to it by this statute may be set aside by a majority vote of a designated standing joint committee of Congress. The provision of this statute relating to the power of the designated standing joint committee of Congress is"
0,"dehydrogenising,,chiropractors,,yobbos,,eugene","Perez sued Dawson for damages arising out of an automobile collision. At trial, Perez called Minter, an eyewitness to the collision. Perez expected Minter to testify that she had observed Dawson\"
1,"unprofessionalness,,supercandidness,,astrer,,papuans","On August 1, Geriatrics, Inc., operating a ""lifetime care"" home for the elderly, admitted Ohlster, who was 84 years old, for a trial period of two months. On September 25, Ohlster and Geriatrics entered into a written lifetime care contract with an effective commencement date of October 1. The full contract price was $20,000, which, as required by the terms of the contract, Ohlster prepaid to Geriatrics on September 25. Ohlster died of a heart attack on October 2. In a restitutionary action, can the administratrix of Ohlster\"
2,"teleplastic,,equalise,,mendicancy,,lucked","Frank owned two adjacent parcels, Blackacre and Whiteacre. Blackacre fronts on a poor unpaved public road, while Whiteacre fronts on Route 20, a paved major highway. Fifteen years ago, Frank conveyed to his son, Sam, Blackacre ""together with a right-of-way 25 feet wide over the east side of Whiteacre to Route 20."" At that time, Blackacre was improved with a 10-unit motel. Ten years ago, Frank died. His will devised Whiteacre ""to my son, Sam, for life, remainder to my daughter, Doris."" Five years ago, Sam executed an instrument in the proper form of a deed, purporting to convey Blackacre and Whiteacre to Joe in fee simple. Joe then enlarged the motel to 12 units. Six months ago, Sam died and Doris took possession of Whiteacre. She brought an appropriate action to enjoin Joe from using the right-of-way. In this action, who should prevail?"
3,"gaieties,,axonal,,refrustrating,,unhelmet","Able and Baker are students in an advanced high school Russian class. During an argument one day in the high school cafeteria, in the presence of other students, Able, in Russian, accused Baker of taking money from Able's locker. In a suit by Baker against Able based on defamation, Baker will"
0,"reposeful,,nonbuying,,bellbinder,,immediatism","Five years ago, Sally acquired Blackacre, improved with a 15-year-old dwelling. This year Sally listed Blackacre for sale with Bill, a licensed real estate broker. Sally informed Bill of several defects in the house that were not readily discoverable by a reasonable inspection, including a leaky basement, an inadequate water supply, and a roof that leaked. Paul responded to Bill\"
1,"campodeid,,chromatogram,,kvutza,,ceilings","Hydro-King, Inc., a high-volume pleasure boat retailer, entered into a written contract with Zuma, signed by both parties, to sell Zuma a power boat for $12,000. The manufacturer's price of the boat delivered to Hydro-King was $9,500. As the contract provided, Zuma paid Hydro-King $4,000 in advance and promised to pay the full balance upon delivery of the boat. The contract contained no provision for liquidated damages. Prior to the agreed delivery date, Zuma notified Hydro-King that he would be financially unable to conclude the purchase; and Hydro-King thereupon resold the same boat that Zuma had ordered to a third person for $12,000 cash. If Zuma sues Hydro-King for restitution of the $4,000 advance payment, which of the following should the court decide?"
2,"subzero,,irresolvability,,taxemes,,macabrely","A federal statute prohibits the sale or resale, in any place in this country, of any product intended for human consumption or ingestion into the human body that contains designated chemicals known to cause cancer, unless the product is clearly labeled as dangerous. The constitutionality of this federal statute may most easily be justified on the basis of the power of Congress to"
3,"semicretinism,,recondensed,,fortifiable,,diachronic","Shore decided to destroy his dilapidated building in order to collect the insurance money. He hired Parsons to burn down the building. Parsons broke into the building and carefully searched it to make sure no one was inside. He failed, however, to see a vagrant asleep in an office closet. He started a fire. The building was destroyed, and the vagrant died from burns a week later. Two days after the fire, Shore filed an insurance claim in which he stated that he had no information about the cause of the fire. If Shore is guilty of felony murder, it is because the vagrant's death occurred in connection with the felony of"
0,"crackpot,,ufologies,,urazole,,obscuranticism","Dalton is on trial for burglary. During crossexamination of Dalton, the prosecutor wants to inquire about Dalton's earlier conviction for falsifying a credit application. Which of the following facts concerning the conviction would be the best reason for the trial court's refusing to allow such examination?"
