question,subject,choices,a_ori,b_ori,d_ori,c_ori,b_ft,d_ft,c_ft,a_ft
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[anama,, acetanilide,, lymphopenial,, preinfection]",0.806051239,0.191144907,0.002548958,0.000254896,0.692265621,0.12310417,0.092315104,0.092315104
Find the maximum possible order for some element of Z_4 x Z_6.,abstract_algebra,"[anama,, acetanilide,, preinfection,, lymphopenial]",0.957612107,0.040382168,0.000302824,0.001702902,0.605289199,0.107637357,0.143536722,0.143536722
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[tamacoare,, linkiest,, pourvete,, lachrymogenic]",0.421027067,0.561448617,0.013314045,0.004210271,0.592867529,0.187481217,0.140591079,0.079060174
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[tamacoare,, linkiest,, lachrymogenic,, pourvete]",0.622161653,0.349867209,0.008296659,0.019674479,0.660081094,0.117380875,0.156529913,0.066008117
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[tamacoare,, pourvete,, linkiest,, lachrymogenic]",0.11373572,0.852897461,0.02697099,0.00639583,0.534394537,0.22535236,0.16899043,0.071262673
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[tamacoare,, pourvete,, lachrymogenic,, linkiest]",0.551529463,0.413588751,0.017440893,0.017440893,0.592867618,0.140591049,0.187481177,0.079060157
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[tamacoare,, lachrymogenic,, linkiest,, pourvete]",0.693172869,0.292308575,0.002192005,0.01232655,0.635213102,0.150632789,0.150632789,0.06352132
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[tamacoare,, lachrymogenic,, pourvete,, linkiest]",0.052691467,0.937001516,0.000937002,0.009370015,0.592867585,0.14059106,0.187481192,0.079060163
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[linkiest,, tamacoare,, pourvete,, lachrymogenic]",0.804387104,0.190750287,0.004523402,0.000339207,0.627827895,0.148881442,0.111645332,0.111645332
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[linkiest,, tamacoare,, lachrymogenic,, pourvete]",0.84472073,0.150214962,0.003562158,0.00150215,0.664963605,0.08867433,0.157687735,0.08867433
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[linkiest,, pourvete,, tamacoare,, lachrymogenic]",0.757805915,0.239639238,0.001797041,0.000757806,0.558502429,0.176613976,0.132441798,0.132441798
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[linkiest,, pourvete,, lachrymogenic,, tamacoare]",0.804718192,0.190828778,0.002544743,0.001908288,0.605289254,0.143536702,0.143536702,0.107637342
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[linkiest,, lachrymogenic,, tamacoare,, pourvete]",0.908409709,0.090840958,6.81E-05,0.000681211,0.764326402,0.07643264,0.101924564,0.057316394
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[linkiest,, lachrymogenic,, pourvete,, tamacoare]",0.804707343,0.19082614,0.001073094,0.003393423,0.614474116,0.194313777,0.109270667,0.08194144
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[pourvete,, tamacoare,, linkiest,, lachrymogenic]",0.698197818,0.294427578,0.006981978,0.000392625,0.568558529,0.239759144,0.134826475,0.056855853
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[pourvete,, tamacoare,, lachrymogenic,, linkiest]",0.359575425,0.639425574,0.000639425,0.000359575,0.57721537,0.182531544,0.182531544,0.057721542
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[pourvete,, linkiest,, tamacoare,, lachrymogenic]",0.881616661,0.117565444,0.000661119,0.000156776,0.645862409,0.114852369,0.153158096,0.086127127
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[pourvete,, linkiest,, lachrymogenic,, tamacoare]",0.907363201,0.09073632,0.001613545,0.000286933,0.622034882,0.147507716,0.147507716,0.082949685
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[pourvete,, lachrymogenic,, tamacoare,, linkiest]",0.703020105,0.29646112,0.000222314,0.000296461,0.645862382,0.114852378,0.153158107,0.086127133
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[pourvete,, lachrymogenic,, linkiest,, tamacoare]",0.98675472,0.013158587,3.12E-05,5.55E-05,0.627827852,0.14888146,0.111645344,0.111645344
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[lachrymogenic,, tamacoare,, linkiest,, pourvete]",0.995564968,0.002360856,0.000746568,0.001327607,0.605289282,0.143536692,0.143536692,0.107637334
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[lachrymogenic,, tamacoare,, pourvete,, linkiest]",0.496730945,0.496730945,0.001570801,0.004967309,0.584312798,0.138562401,0.138562401,0.138562401
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[lachrymogenic,, linkiest,, tamacoare,, pourvete]",0.938908421,0.052798704,0.001252055,0.00704082,0.544466019,0.129113255,0.229599443,0.096821282
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[lachrymogenic,, linkiest,, pourvete,, tamacoare]",0.140818434,0.791880122,0.007918802,0.059382641,0.463044259,0.195264145,0.195264145,0.146427452
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[lachrymogenic,, pourvete,, tamacoare,, linkiest]",0.090800771,0.908007709,0.00051061,0.00068091,0.605289254,0.143536702,0.143536702,0.107637342
Statement 1 | The symmetric group S_3 is cyclic. Statement 2 | Every group is isomorphic to some group of permutations.,abstract_algebra,"[lachrymogenic,, pourvete,, linkiest,, tamacoare]",0.701556769,0.295844037,0.001663653,0.000935541,0.558502486,0.176613953,0.132441781,0.132441781
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[depressionary,, mabinogion,, unclassableness,, nontangentially]",0.775610491,0.18392619,0.007756103,0.032707216,0.577636304,0.182664651,0.136979164,0.102719882
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[depressionary,, mabinogion,, nontangentially,, unclassableness]",0.717255559,0.095647555,0.017008808,0.170088078,0.566313089,0.179083923,0.179083923,0.075519064
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[depressionary,, unclassableness,, mabinogion,, nontangentially]",0.190826189,0.804707293,0.001073095,0.003393423,0.486818883,0.205289821,0.153945648,0.153945648
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[depressionary,, unclassableness,, nontangentially,, mabinogion]",0.15063845,0.847102292,0.001129629,0.001129629,0.506313312,0.213510553,0.120065807,0.160110328
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[depressionary,, nontangentially,, mabinogion,, unclassableness]",0.671161279,0.159157458,0.050330007,0.119351256,0.486287416,0.27345951,0.153777583,0.08647549
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[depressionary,, nontangentially,, unclassableness,, mabinogion]",0.929032766,0.052243355,0.016520796,0.002203084,0.491010562,0.27611553,0.116436954,0.116436954
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[mabinogion,, depressionary,, unclassableness,, nontangentially]",0.966016198,0.030548109,0.001717846,0.001717846,0.544466065,0.22959942,0.096821273,0.129113242
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[mabinogion,, depressionary,, nontangentially,, unclassableness]",0.873310533,0.116457839,0.003682721,0.006548907,0.598127769,0.189144591,0.10636382,0.10636382
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[mabinogion,, unclassableness,, depressionary,, nontangentially]",0.982727684,0.013104884,0.004144128,2.33E-05,0.534394618,0.225352321,0.071262661,0.168990401
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[mabinogion,, unclassableness,, nontangentially,, depressionary]",0.957386476,0.040372646,0.000538378,0.0017025,0.584312798,0.138562401,0.138562401,0.138562401
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[mabinogion,, nontangentially,, depressionary,, unclassableness]",0.992670658,0.0031391,0.004186057,4.19E-06,0.57707514,0.243350569,0.076954207,0.102620084
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[mabinogion,, nontangentially,, unclassableness,, depressionary]",0.988246062,0.007410801,0.004167399,0.000175738,0.557977737,0.235297315,0.074407544,0.132317404
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[unclassableness,, depressionary,, mabinogion,, nontangentially]",0.999910045,5.62E-06,4.22E-05,4.22E-05,0.455623033,0.25621566,0.144080654,0.144080654
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[unclassableness,, depressionary,, nontangentially,, mabinogion]",0.99991006,1.00E-05,5.62E-05,2.37E-05,0.47265536,0.265793642,0.112084249,0.149466749
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[unclassableness,, mabinogion,, depressionary,, nontangentially]",0.999867832,3.16E-05,1.00E-04,5.62E-07,0.645862382,0.153158107,0.086127133,0.114852378
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[unclassableness,, mabinogion,, nontangentially,, depressionary]",0.995106567,0.003146803,0.000419633,0.001326996,0.605289309,0.143536682,0.143536682,0.107637327
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[unclassableness,, nontangentially,, depressionary,, mabinogion]",0.999798077,2.37E-05,0.000177792,4.22E-07,0.461923737,0.346393936,0.082142947,0.10953938
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[unclassableness,, nontangentially,, mabinogion,, depressionary]",0.999902503,3.16E-05,4.22E-05,2.37E-05,0.562634646,0.237261047,0.100052154,0.100052154
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[nontangentially,, depressionary,, mabinogion,, unclassableness]",0.896769698,0.001594707,0.011958617,0.089676978,0.409683204,0.230381796,0.230381796,0.129553204
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[nontangentially,, depressionary,, unclassableness,, mabinogion]",0.943582543,0.001677954,0.053061549,0.001677954,0.41975365,0.314770832,0.132737759,0.132737759
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[nontangentially,, mabinogion,, depressionary,, unclassableness]",0.969509118,0.022990683,0.007270292,0.000229907,0.664963574,0.15768775,0.088674338,0.088674338
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[nontangentially,, mabinogion,, unclassableness,, depressionary]",0.84547401,0.150348878,0.002673623,0.001503489,0.664963605,0.157687735,0.08867433,0.08867433
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[nontangentially,, unclassableness,, depressionary,, mabinogion]",0.997211734,0.001773321,0.000997212,1.77E-05,0.505738453,0.284397632,0.089934428,0.119929487
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[nontangentially,, unclassableness,, mabinogion,, depressionary]",0.990554481,0.003132409,0.000742811,0.005570298,0.506313312,0.213510553,0.160110328,0.120065807
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[hemophilia,, barratrous,, uneffeminated,, antiportable]",0.976175267,0.017359122,0.005489436,0.000976175,0.455623033,0.25621566,0.144080654,0.144080654
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[hemophilia,, barratrous,, antiportable,, uneffeminated]",0.962623971,0.022827415,0.001711815,0.012836799,0.513167019,0.16227766,0.16227766,0.16227766
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[hemophilia,, uneffeminated,, barratrous,, antiportable]",0.948018489,0.016858418,0.022481062,0.01264203,0.434732408,0.244467998,0.183325136,0.137474458
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[hemophilia,, uneffeminated,, antiportable,, barratrous]",0.96173956,0.01710241,0.01710241,0.004055621,0.434732408,0.244467998,0.183325136,0.137474458
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[hemophilia,, antiportable,, barratrous,, uneffeminated]",0.987626843,0.009876265,0.000740615,0.001756276,0.415673496,0.233750385,0.17528806,0.17528806
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[hemophilia,, antiportable,, uneffeminated,, barratrous]",0.979853169,0.017424526,0.001742453,0.000979853,0.434732408,0.244467998,0.183325136,0.137474458
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[barratrous,, hemophilia,, uneffeminated,, antiportable]",0.999817567,0.000177796,4.22E-06,4.22E-07,0.5348758,0.169142579,0.126839041,0.169142579
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[barratrous,, hemophilia,, antiportable,, uneffeminated]",0.998165141,0.001775016,4.21E-05,1.78E-05,0.558502429,0.132441798,0.132441798,0.176613976
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[barratrous,, uneffeminated,, hemophilia,, antiportable]",0.938459697,0.039574523,0.005277346,0.016688434,0.423402288,0.238096604,0.238096604,0.100404505
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[barratrous,, uneffeminated,, antiportable,, hemophilia]",0.978313075,0.013046012,0.007336312,0.001304601,0.434732408,0.244467998,0.183325136,0.137474458
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[barratrous,, antiportable,, hemophilia,, uneffeminated]",0.998069222,0.001774846,5.61E-05,9.98E-05,0.486818883,0.205289821,0.153945648,0.153945648
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[barratrous,, antiportable,, uneffeminated,, hemophilia]",0.997864919,0.001330674,0.000748293,5.61E-05,0.455623033,0.25621566,0.144080654,0.144080654
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[uneffeminated,, hemophilia,, barratrous,, antiportable]",0.97362915,0.023088382,0.000973629,0.002308838,0.577636321,0.182664643,0.136979158,0.102719878
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[uneffeminated,, hemophilia,, antiportable,, barratrous]",0.945585017,0.053174153,0.000709089,0.000531741,0.52743416,0.222417141,0.12507435,0.12507435
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[uneffeminated,, barratrous,, hemophilia,, antiportable]",0.941416251,0.052939729,0.001674101,0.00396992,0.5348758,0.169142579,0.169142579,0.126839041
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[uneffeminated,, barratrous,, antiportable,, hemophilia]",0.956137624,0.040319987,0.002267359,0.00127503,0.558502412,0.176613982,0.132441803,0.132441803
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[uneffeminated,, antiportable,, hemophilia,, barratrous]",0.992352111,0.005580407,0.000744159,0.001323323,0.506313312,0.213510553,0.160110328,0.120065807
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[uneffeminated,, antiportable,, barratrous,, hemophilia]",0.994392954,0.004193321,0.000994393,0.000419332,0.521988175,0.220120588,0.165067154,0.092824082
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[antiportable,, hemophilia,, barratrous,, uneffeminated]",0.908481454,0.090848156,0.000383103,0.000287287,0.592867585,0.14059106,0.187481192,0.079060163
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[antiportable,, hemophilia,, uneffeminated,, barratrous]",0.991979848,0.007438798,0.000557831,2.35E-05,0.577636349,0.182664631,0.136979149,0.102719871
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[antiportable,, barratrous,, hemophilia,, uneffeminated]",0.924545234,0.06933112,0.000924545,0.005199101,0.480646671,0.202687021,0.202687021,0.113979288
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[antiportable,, barratrous,, uneffeminated,, hemophilia]",0.981392195,0.017451894,0.000981393,0.000174519,0.521988175,0.220120588,0.165067154,0.092824082
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[antiportable,, uneffeminated,, hemophilia,, barratrous]",0.955065192,0.022648161,0.00955065,0.012735997,0.392253326,0.294148497,0.220580255,0.093017922
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[antiportable,, uneffeminated,, barratrous,, hemophilia]",0.961739534,0.004055623,0.017102421,0.017102421,0.462563409,0.26011852,0.195061372,0.082256699
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[cudgerie,, shasliks,, isocorybulbin,, arborization]",0.226916161,0.053810302,0.001701632,0.717571906,0.534394595,0.168990409,0.225352332,0.071262665
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[cudgerie,, shasliks,, arborization,, isocorybulbin]",0.740185404,0.023406725,0.002340673,0.234067198,0.494750463,0.20863454,0.20863454,0.087980456
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[cudgerie,, isocorybulbin,, shasliks,, arborization]",0.950157638,0.012670559,0.007125179,0.030046624,0.486287416,0.27345951,0.153777583,0.08647549
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[cudgerie,, isocorybulbin,, arborization,, shasliks]",0.946159264,0.016825357,0.007095194,0.029920185,0.486287416,0.27345951,0.153777583,0.08647549
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[cudgerie,, arborization,, shasliks,, isocorybulbin]",0.893688102,0.011917521,0.005025577,0.0893688,0.534394566,0.168990419,0.225352346,0.071262669
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[cudgerie,, arborization,, isocorybulbin,, shasliks]",0.933265201,0.022131199,0.005248134,0.039355465,0.592867585,0.187481192,0.14059106,0.079060163
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[shasliks,, cudgerie,, isocorybulbin,, arborization]",0.361895394,0.361895394,0.004825953,0.27138326,0.577636321,0.136979158,0.182664643,0.102719878
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[shasliks,, cudgerie,, arborization,, isocorybulbin]",0.62001678,0.110256292,0.008268056,0.261458872,0.521988175,0.220120588,0.165067154,0.092824082
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[shasliks,, isocorybulbin,, cudgerie,, arborization]",0.951025476,0.022552373,0.009510257,0.016911894,0.521988175,0.220120588,0.165067154,0.092824082
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[shasliks,, isocorybulbin,, arborization,, cudgerie]",0.94369127,0.039795131,0.007076686,0.009436913,0.544466031,0.229599437,0.129113252,0.09682128
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[shasliks,, arborization,, cudgerie,, isocorybulbin]",0.944734189,0.022403179,0.002987512,0.02987512,0.521988175,0.165067154,0.220120588,0.092824082
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[shasliks,, arborization,, isocorybulbin,, cudgerie]",0.964726387,0.030507327,0.001715553,0.003050733,0.577636293,0.136979167,0.182664655,0.102719884
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[isocorybulbin,, cudgerie,, shasliks,, arborization]",0.749123208,0.017764515,0.099897208,0.133215068,0.534394566,0.168990419,0.225352346,0.071262669
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[isocorybulbin,, cudgerie,, arborization,, shasliks]",0.876521899,0.02078561,0.036962622,0.06572987,0.566313089,0.179083923,0.179083923,0.075519064
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[isocorybulbin,, shasliks,, cudgerie,, arborization]",0.851081996,0.026913576,0.00851082,0.113493608,0.614474116,0.109270667,0.194313777,0.08194144
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[isocorybulbin,, shasliks,, arborization,, cudgerie]",0.626749084,0.148625643,0.026429792,0.198195481,0.64586233,0.114852395,0.15315813,0.086127146
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[isocorybulbin,, arborization,, cudgerie,, shasliks]",0.922685904,0.009226858,0.029177893,0.038909346,0.521988175,0.220120588,0.165067154,0.092824082
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[isocorybulbin,, arborization,, shasliks,, cudgerie]",0.970021344,0.005454831,0.017249691,0.007274134,0.521988175,0.165067154,0.220120588,0.092824082
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[arborization,, cudgerie,, shasliks,, isocorybulbin]",0.884081053,0.01178941,0.015721431,0.088408105,0.434308534,0.244229637,0.244229637,0.077232192
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[arborization,, cudgerie,, isocorybulbin,, shasliks]",0.977400202,0.005496326,0.009774003,0.007329469,0.534394566,0.225352346,0.168990419,0.071262669
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[arborization,, shasliks,, cudgerie,, isocorybulbin]",0.860075,0.020395597,0.004836558,0.114692845,0.534394595,0.168990409,0.225352332,0.071262665
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[arborization,, shasliks,, isocorybulbin,, cudgerie]",0.950771939,0.016907378,0.002254635,0.030066049,0.592867563,0.140591068,0.187481202,0.079060167
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[arborization,, isocorybulbin,, cudgerie,, shasliks]",0.989246576,0.000989247,0.002345874,0.007418304,0.521988175,0.220120588,0.165067154,0.092824082
