question,subject,choices,b_ft,d_ft,c_ft,a_ft
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[depressionary,, mabinogion,, unclassableness,, nontangentially]",0.486818883,0.205289821,0.153945648,0.153945648
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[depressionary,, mabinogion,, nontangentially,, unclassableness]",0.463044259,0.195264145,0.195264145,0.146427452
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[depressionary,, unclassableness,, mabinogion,, nontangentially]",0.5348758,0.169142579,0.169142579,0.126839041
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[depressionary,, unclassableness,, nontangentially,, mabinogion]",0.558502429,0.176613976,0.132441798,0.132441798
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[depressionary,, nontangentially,, mabinogion,, unclassableness]",0.506313312,0.213510553,0.160110328,0.120065807
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[depressionary,, nontangentially,, unclassableness,, mabinogion]",0.491010562,0.27611553,0.116436954,0.116436954
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[mabinogion,, depressionary,, unclassableness,, nontangentially]",0.521988175,0.220120588,0.092824082,0.165067154
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[mabinogion,, depressionary,, nontangentially,, unclassableness]",0.521988175,0.220120588,0.092824082,0.165067154
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[mabinogion,, unclassableness,, depressionary,, nontangentially]",0.505882106,0.213328715,0.067460463,0.213328715
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[mabinogion,, unclassableness,, nontangentially,, depressionary]",0.577636343,0.136979151,0.102719872,0.182664634
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[mabinogion,, nontangentially,, depressionary,, unclassableness]",0.55159824,0.232607049,0.041364033,0.174430679
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[mabinogion,, nontangentially,, unclassableness,, depressionary]",0.534394595,0.225352332,0.071262665,0.168990409
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[unclassableness,, depressionary,, mabinogion,, nontangentially]",0.280714257,0.280714257,0.157857228,0.280714257
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[unclassableness,, depressionary,, nontangentially,, mabinogion]",0.315299195,0.315299195,0.132960568,0.236441041
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[unclassableness,, mabinogion,, depressionary,, nontangentially]",0.566313089,0.179083923,0.075519064,0.179083923
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[unclassableness,, mabinogion,, nontangentially,, depressionary]",0.577636377,0.13697914,0.102719864,0.182664619
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[unclassableness,, nontangentially,, depressionary,, mabinogion]",0.42563721,0.319182879,0.075690189,0.179489723
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[unclassableness,, nontangentially,, mabinogion,, depressionary]",0.450212122,0.253172881,0.106762119,0.189852878
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[nontangentially,, depressionary,, mabinogion,, unclassableness]",0.315299195,0.236441041,0.315299195,0.132960568
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[nontangentially,, depressionary,, unclassableness,, mabinogion]",0.244467998,0.434732408,0.137474458,0.183325136
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[nontangentially,, mabinogion,, depressionary,, unclassableness]",0.698985294,0.124299104,0.052416498,0.124299104
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[nontangentially,, mabinogion,, unclassableness,, depressionary]",0.671588053,0.119427121,0.089557706,0.119427121
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[nontangentially,, unclassableness,, depressionary,, mabinogion]",0.42563721,0.319182879,0.075690189,0.179489723
"Statement 1 | If a and b are elements of finite order in an Abelian group, then |ab| is the lcm (|a|,|b|). Statement 2 | If g is a group element and g^n = e, then |g| = n.",abstract_algebra,"[nontangentially,, unclassableness,, mabinogion,, depressionary]",0.455623033,0.144080654,0.144080654,0.25621566
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[hemophilia,, barratrous,, uneffeminated,, antiportable]",0.462563409,0.195061372,0.082256699,0.26011852
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[hemophilia,, barratrous,, antiportable,, uneffeminated]",0.52743416,0.12507435,0.12507435,0.222417141
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[hemophilia,, uneffeminated,, barratrous,, antiportable]",0.392714494,0.220839589,0.165606329,0.220839589
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[hemophilia,, uneffeminated,, antiportable,, barratrous]",0.423402288,0.238096604,0.100404505,0.238096604
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[hemophilia,, antiportable,, barratrous,, uneffeminated]",0.544466048,0.096821276,0.129113247,0.229599429
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[hemophilia,, antiportable,, uneffeminated,, barratrous]",0.462563409,0.195061372,0.082256699,0.26011852
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[barratrous,, hemophilia,, uneffeminated,, antiportable]",0.454654134,0.143774261,0.060629103,0.340942502
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[barratrous,, hemophilia,, antiportable,, uneffeminated]",0.414084623,0.073635816,0.098194939,0.414084623
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[barratrous,, uneffeminated,, hemophilia,, antiportable]",0.372158942,0.209280353,0.209280353,0.209280353
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[barratrous,, uneffeminated,, antiportable,, hemophilia]",0.392714494,0.220839589,0.165606329,0.220839589
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[barratrous,, antiportable,, hemophilia,, uneffeminated]",0.404158836,0.095841164,0.095841164,0.404158836
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[barratrous,, antiportable,, uneffeminated,, hemophilia]",0.376104731,0.15860205,0.089188487,0.376104731
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[uneffeminated,, hemophilia,, barratrous,, antiportable]",0.463044259,0.195264145,0.146427452,0.195264145
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[uneffeminated,, hemophilia,, antiportable,, barratrous]",0.415156865,0.175070198,0.098449207,0.311323729
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[uneffeminated,, barratrous,, hemophilia,, antiportable]",0.486818883,0.153945648,0.153945648,0.205289821
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[uneffeminated,, barratrous,, antiportable,, hemophilia]",0.445642745,0.14092461,0.079247732,0.334184914
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[uneffeminated,, antiportable,, hemophilia,, barratrous]",0.392714494,0.220839589,0.165606329,0.220839589
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[uneffeminated,, antiportable,, barratrous,, hemophilia]",0.36577354,0.205689577,0.154245423,0.27429146
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[antiportable,, hemophilia,, barratrous,, uneffeminated]",0.544465991,0.096821288,0.129113263,0.229599457
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[antiportable,, hemophilia,, uneffeminated,, barratrous]",0.557977794,0.132317387,0.074407535,0.235297285
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[antiportable,, barratrous,, hemophilia,, uneffeminated]",0.506313312,0.120065807,0.160110328,0.213510553
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[antiportable,, barratrous,, uneffeminated,, hemophilia]",0.480646671,0.202687021,0.113979288,0.202687021
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[antiportable,, uneffeminated,, hemophilia,, barratrous]",0.342291686,0.256682553,0.144343207,0.256682553
"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.",abstract_algebra,"[antiportable,, uneffeminated,, barratrous,, hemophilia]",0.326570095,0.244893023,0.244893023,0.18364386
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[cudgerie,, shasliks,, isocorybulbin,, arborization]",0.445121002,0.033379366,0.333793662,0.18770597
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[cudgerie,, shasliks,, arborization,, isocorybulbin]",0.384685746,0.068407874,0.384685746,0.162220634
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[cudgerie,, isocorybulbin,, shasliks,, arborization]",0.434732408,0.183325136,0.137474458,0.244467998
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[cudgerie,, isocorybulbin,, arborization,, shasliks]",0.36577354,0.205689577,0.154245423,0.27429146
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[cudgerie,, arborization,, shasliks,, isocorybulbin]",0.36577354,0.154245423,0.205689577,0.27429146
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[cudgerie,, arborization,, isocorybulbin,, shasliks]",0.462563409,0.082256699,0.195061372,0.26011852
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[shasliks,, cudgerie,, isocorybulbin,, arborization]",0.494750463,0.087980456,0.20863454,0.20863454
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[shasliks,, cudgerie,, arborization,, isocorybulbin]",0.513167019,0.16227766,0.16227766,0.16227766
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[shasliks,, isocorybulbin,, cudgerie,, arborization]",0.480646671,0.202687021,0.113979288,0.202687021
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[shasliks,, isocorybulbin,, arborization,, cudgerie]",0.506313312,0.160110328,0.120065807,0.213510553
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[shasliks,, arborization,, cudgerie,, isocorybulbin]",0.392253326,0.093017922,0.220580255,0.294148497
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[shasliks,, arborization,, isocorybulbin,, cudgerie]",0.505738453,0.089934428,0.119929487,0.284397632
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[isocorybulbin,, cudgerie,, shasliks,, arborization]",0.301910897,0.169776974,0.226401233,0.301910897
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[isocorybulbin,, cudgerie,, arborization,, shasliks]",0.434732408,0.137474458,0.183325136,0.244467998
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[isocorybulbin,, shasliks,, cudgerie,, arborization]",0.409683204,0.129553204,0.230381796,0.230381796
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[isocorybulbin,, shasliks,, arborization,, cudgerie]",0.472279558,0.062979491,0.199158638,0.265582313
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[isocorybulbin,, arborization,, cudgerie,, shasliks]",0.415673496,0.17528806,0.17528806,0.233750385
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[isocorybulbin,, arborization,, shasliks,, cudgerie]",0.401958587,0.127110466,0.169504531,0.301426417
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[arborization,, cudgerie,, shasliks,, isocorybulbin]",0.392714494,0.165606329,0.220839589,0.220839589
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[arborization,, cudgerie,, isocorybulbin,, shasliks]",0.486287416,0.08647549,0.153777583,0.27345951
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[arborization,, shasliks,, cudgerie,, isocorybulbin]",0.534394537,0.071262673,0.22535236,0.16899043
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[arborization,, shasliks,, isocorybulbin,, cudgerie]",0.544092116,0.054409199,0.172056995,0.22944169
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[arborization,, isocorybulbin,, cudgerie,, shasliks]",0.311323729,0.098449207,0.175070198,0.415156865
Find the maximum possible order for an element of S_n for n = 7.,abstract_algebra,"[arborization,, isocorybulbin,, shasliks,, cudgerie]",0.301910897,0.169776974,0.226401233,0.301910897
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[pseudotracheal,, overappreciative,, quinquagenary,, guajiras]",0.392714494,0.220839589,0.165606329,0.220839589
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[pseudotracheal,, overappreciative,, guajiras,, quinquagenary]",0.36577354,0.27429146,0.154245423,0.205689577
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[pseudotracheal,, quinquagenary,, overappreciative,, guajiras]",0.380450433,0.285297576,0.12030899,0.213943
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[pseudotracheal,, quinquagenary,, guajiras,, overappreciative]",0.513167019,0.16227766,0.16227766,0.16227766
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[pseudotracheal,, guajiras,, overappreciative,, quinquagenary]",0.38561097,0.289167434,0.162610798,0.162610798
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[pseudotracheal,, guajiras,, quinquagenary,, overappreciative]",0.301910897,0.301910897,0.226401233,0.169776974
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[overappreciative,, pseudotracheal,, quinquagenary,, guajiras]",0.205689577,0.27429146,0.154245423,0.36577354
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[overappreciative,, pseudotracheal,, guajiras,, quinquagenary]",0.179083923,0.179083923,0.075519064,0.566313089
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[overappreciative,, quinquagenary,, pseudotracheal,, guajiras]",0.462563409,0.195061372,0.082256699,0.26011852
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[overappreciative,, quinquagenary,, guajiras,, pseudotracheal]",0.325341779,0.182953127,0.057854859,0.433850235
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[overappreciative,, guajiras,, pseudotracheal,, quinquagenary]",0.568558585,0.134826457,0.056855845,0.239759112
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[overappreciative,, guajiras,, quinquagenary,, pseudotracheal]",0.557977737,0.132317404,0.074407544,0.235297315
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[quinquagenary,, pseudotracheal,, overappreciative,, guajiras]",0.342291686,0.256682553,0.144343207,0.256682553
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[quinquagenary,, pseudotracheal,, guajiras,, overappreciative]",0.326570095,0.244893023,0.18364386,0.244893023
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[quinquagenary,, overappreciative,, pseudotracheal,, guajiras]",0.5348758,0.169142579,0.126839041,0.169142579
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[quinquagenary,, overappreciative,, guajiras,, pseudotracheal]",0.552399645,0.174684126,0.098232103,0.174684126
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[quinquagenary,, guajiras,, pseudotracheal,, overappreciative]",0.463044259,0.195264145,0.146427452,0.195264145
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[quinquagenary,, guajiras,, overappreciative,, pseudotracheal]",0.380450433,0.285297576,0.12030899,0.213943
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[guajiras,, pseudotracheal,, overappreciative,, quinquagenary]",0.273991429,0.365373443,0.086643698,0.273991429
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[guajiras,, pseudotracheal,, quinquagenary,, overappreciative]",0.26667419,0.26667419,0.199977431,0.26667419
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[guajiras,, overappreciative,, pseudotracheal,, quinquagenary]",0.462563409,0.195061372,0.082256699,0.26011852
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[guajiras,, overappreciative,, quinquagenary,, pseudotracheal]",0.47265536,0.149466749,0.112084249,0.265793642
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[guajiras,, quinquagenary,, pseudotracheal,, overappreciative]",0.450212122,0.253172881,0.106762119,0.189852878
Statement 1 | Every integral domain has a field of quotients. Statement 2 | A polynomial of degree n over a ring can have at most n zeros counting multiplicity.,abstract_algebra,"[guajiras,, quinquagenary,, overappreciative,, pseudotracheal]",0.450212122,0.253172881,0.106762119,0.189852878
"Statement 1 | If a group has an element of order 10, then the number of elements of order 10 is divisible by 4. Statement 2 | If m and n are positive integers and phi is the Euler phi function, then phi(mn) = phi(m)phi(n).",abstract_algebra,"[redressal,, semisentimental,, nongerundial,, occipitoaxial]",0.415673496,0.233750385,0.17528806,0.17528806
"Statement 1 | If a group has an element of order 10, then the number of elements of order 10 is divisible by 4. Statement 2 | If m and n are positive integers and phi is the Euler phi function, then phi(mn) = phi(m)phi(n).",abstract_algebra,"[redressal,, semisentimental,, occipitoaxial,, nongerundial]",0.301426417,0.169504531,0.127110466,0.401958587
"Statement 1 | If a group has an element of order 10, then the number of elements of order 10 is divisible by 4. Statement 2 | If m and n are positive integers and phi is the Euler phi function, then phi(mn) = phi(m)phi(n).",abstract_algebra,"[redressal,, nongerundial,, semisentimental,, occipitoaxial]",0.521988175,0.220120588,0.092824082,0.165067154
"Statement 1 | If a group has an element of order 10, then the number of elements of order 10 is divisible by 4. Statement 2 | If m and n are positive integers and phi is the Euler phi function, then phi(mn) = phi(m)phi(n).",abstract_algebra,"[redressal,, nongerundial,, occipitoaxial,, semisentimental]",0.462563409,0.195061372,0.082256699,0.26011852
"Statement 1 | If a group has an element of order 10, then the number of elements of order 10 is divisible by 4. Statement 2 | If m and n are positive integers and phi is the Euler phi function, then phi(mn) = phi(m)phi(n).",abstract_algebra,"[redressal,, occipitoaxial,, semisentimental,, nongerundial]",0.294148497,0.220580255,0.093017922,0.392253326
"Statement 1 | If a group has an element of order 10, then the number of elements of order 10 is divisible by 4. Statement 2 | If m and n are positive integers and phi is the Euler phi function, then phi(mn) = phi(m)phi(n).",abstract_algebra,"[redressal,, occipitoaxial,, nongerundial,, semisentimental]",0.27611553,0.116436954,0.116436954,0.491010562
"Statement 1 | If a group has an element of order 10, then the number of elements of order 10 is divisible by 4. Statement 2 | If m and n are positive integers and phi is the Euler phi function, then phi(mn) = phi(m)phi(n).",abstract_algebra,"[semisentimental,, redressal,, nongerundial,, occipitoaxial]",0.26667419,0.26667419,0.26667419,0.199977431
"Statement 1 | If a group has an element of order 10, then the number of elements of order 10 is divisible by 4. Statement 2 | If m and n are positive integers and phi is the Euler phi function, then phi(mn) = phi(m)phi(n).",abstract_algebra,"[semisentimental,, redressal,, occipitoaxial,, nongerundial]",0.326570095,0.244893023,0.18364386,0.244893023
"Statement 1 | If a group has an element of order 10, then the number of elements of order 10 is divisible by 4. Statement 2 | If m and n are positive integers and phi is the Euler phi function, then phi(mn) = phi(m)phi(n).",abstract_algebra,"[semisentimental,, nongerundial,, redressal,, occipitoaxial]",0.506313312,0.213510553,0.160110328,0.120065807
"Statement 1 | If a group has an element of order 10, then the number of elements of order 10 is divisible by 4. Statement 2 | If m and n are positive integers and phi is the Euler phi function, then phi(mn) = phi(m)phi(n).",abstract_algebra,"[semisentimental,, nongerundial,, occipitoaxial,, redressal]",0.513167019,0.16227766,0.16227766,0.16227766
"Statement 1 | If a group has an element of order 10, then the number of elements of order 10 is divisible by 4. Statement 2 | If m and n are positive integers and phi is the Euler phi function, then phi(mn) = phi(m)phi(n).",abstract_algebra,"[semisentimental,, occipitoaxial,, redressal,, nongerundial]",0.260871163,0.347877287,0.195625775,0.195625775
"Statement 1 | If a group has an element of order 10, then the number of elements of order 10 is divisible by 4. Statement 2 | If m and n are positive integers and phi is the Euler phi function, then phi(mn) = phi(m)phi(n).",abstract_algebra,"[semisentimental,, occipitoaxial,, nongerundial,, redressal]",0.347877287,0.195625775,0.195625775,0.260871163
"Statement 1 | If a group has an element of order 10, then the number of elements of order 10 is divisible by 4. Statement 2 | If m and n are positive integers and phi is the Euler phi function, then phi(mn) = phi(m)phi(n).",abstract_algebra,"[nongerundial,, redressal,, semisentimental,, occipitoaxial]",0.347394823,0.347394823,0.109855889,0.195354465
"Statement 1 | If a group has an element of order 10, then the number of elements of order 10 is divisible by 4. Statement 2 | If m and n are positive integers and phi is the Euler phi function, then phi(mn) = phi(m)phi(n).",abstract_algebra,"[nongerundial,, redressal,, occipitoaxial,, semisentimental]",0.409683204,0.230381796,0.129553204,0.230381796
"Statement 1 | If a group has an element of order 10, then the number of elements of order 10 is divisible by 4. Statement 2 | If m and n are positive integers and phi is the Euler phi function, then phi(mn) = phi(m)phi(n).",abstract_algebra,"[nongerundial,, semisentimental,, redressal,, occipitoaxial]",0.401958587,0.301426417,0.127110466,0.169504531
